,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 10)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47878228782287824,0.44481584985654044,0.6827444789329407,0.47878228782287824,0.6327461607949413,0.47878228782287824,0.47878228782287824,0.45219129808686054,0.4872892247720998,0.47878228782287824
1,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 20)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49538745387453875,0.4562293679648885,0.6814152752613342,0.49538745387453875,0.6886243386243387,0.49538745387453875,0.49538745387453875,0.45554533396644076,0.5094016212519019,0.49538745387453875
2,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 30)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4806273062730627,0.47862002222308403,0.674550718947295,0.4806273062730627,0.6730416827977804,0.4806273062730627,0.4806273062730627,0.46995209269797117,0.4991543682259779,0.4806273062730627
3,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 40)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5046125461254612,0.5814178915683917,0.7396223188036566,0.5046125461254612,0.7175829139243773,0.5046125461254612,0.5046125461254612,0.5384729642256949,0.5390098926813868,0.5046125461254612
4,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 50)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47601476014760147,0.439658820780189,0.7038095094469352,0.47601476014760147,0.651219512195122,0.47601476014760147,0.47601476014760147,0.4254238073190289,0.49109051023654793,0.47601476014760147
5,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 60)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4446494464944649,0.4111392060892492,0.6272128118075757,0.4446494464944649,0.6442831333075235,0.4446494464944649,0.4446494464944649,0.4049462467099852,0.4387500809757579,0.4446494464944649
6,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 70)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49907749077490776,0.47270928269199786,0.6676582733765908,0.49907749077490776,0.7190024519292812,0.49907749077490776,0.49907749077490776,0.4938691428643855,0.48208358378643396,0.49907749077490776
7,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 80)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4714022140221402,0.4000851846466306,0.6617910120289238,0.4714022140221402,0.67773261065944,0.4714022140221402,0.4714022140221402,0.40503197978927247,0.4625974387811538,0.4714022140221402
8,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 90)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4806273062730627,0.3981857795646499,0.612305205170216,0.4806273062730627,0.6560265840753646,0.4806273062730627,0.4806273062730627,0.42881602848380657,0.4629222607553938,0.4806273062730627
9,"(10, (0, 1), (100, 200), 1.5, -0.3, 10, 2, 5, 100)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4806273062730627,0.4119288375425357,0.6767726877677348,0.4806273062730627,0.6811136920893018,0.4806273062730627,0.4806273062730627,0.4160838608766235,0.47781760062334755,0.4806273062730627
