,Params,train_validation_results,test_results
0,"(0.03, 2)","{'loss': [0.7388488054275513, 0.07351555675268173], 'accuracy': [0.8834269642829895, 0.9719101190567017], 'f1_metric': [0.8087986707687378, 0.9509862661361694], 'recall_metric': [0.8363597989082336, 0.9535769820213318], 'precision_metric': [0.809988796710968, 0.9585875868797302], 'val_loss': [0.10458483546972275, 0.043831147253513336], 'val_accuracy': [0.9663865566253662, 0.9915966391563416], 'val_f1_metric': [0.8997907042503357, 0.9829453825950623], 'val_recall_metric': [0.8971467614173889, 0.9777777791023254], 'val_precision_metric': [0.9099939465522766, 0.9923114776611328]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
1,"(0.03, 3)","{'loss': [1.2502129077911377, 0.24132557213306427, 0.03863345459103584], 'accuracy': [0.8525280952453613, 0.9620786309242249, 0.9943820238113403], 'f1_metric': [0.736746072769165, 0.9352412223815918, 0.9912603497505188], 'recall_metric': [0.7792521715164185, 0.9427646398544312, 0.9915458559989929], 'precision_metric': [0.7681747078895569, 0.9488979578018188, 0.9927881360054016], 'val_loss': [0.6846862435340881, 0.08092264831066132, 0.04451518878340721], 'val_accuracy': [0.9201680421829224, 0.9789915680885315, 0.9915966391563416], 'val_f1_metric': [0.814557671546936, 0.9626055359840393, 0.9829453825950623], 'val_recall_metric': [0.8300336003303528, 0.9604166746139526, 0.9777777791023254], 'val_precision_metric': [0.866319477558136, 0.9710813760757446, 0.9923114776611328]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
