,Params,train_validation_results,test_results
,"(0.003, 5)","{'loss': [0.24109572172164917, 0.061716631054878235, 0.04049902409315109, 0.030846593901515007, 0.02535376138985157], 'accuracy': [0.9213483333587646, 0.9803370833396912, 0.9887640476226807, 0.9915730357170105, 0.9957864880561829], 'f1_metric': [0.8514907956123352, 0.9595635533332825, 0.9800378680229187, 0.9826253652572632, 0.9798835515975952], 'val_loss': [0.08742699772119522, 0.057656362652778625, 0.04563412442803383, 0.04501590132713318, 0.035638049244880676], 'val_accuracy': [0.970588207244873, 0.9747899174690247, 0.9873949289321899, 0.9873949289321899, 0.9873949289321899], 'val_f1_metric': [0.944290280342102, 0.9500172734260559, 0.9693155288696289, 0.9693155288696289, 0.9693155288696289]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.003, 6)","{'loss': [0.3656577169895172, 0.08375398069620132, 0.060372233390808105, 0.04713408276438713, 0.027181847020983696, 0.02486172504723072], 'accuracy': [0.834269642829895, 0.9676966071128845, 0.983146071434021, 0.9873595237731934, 0.9985954761505127, 0.9957864880561829], 'f1_metric': [0.724238932132721, 0.9377201795578003, 0.9690185785293579, 0.9651593565940857, 0.9968147277832031, 0.9905306100845337], 'val_loss': [0.112637460231781, 0.0833028107881546, 0.07398205250501633, 0.05051292106509209, 0.044840212911367416, 0.040316950529813766], 'val_accuracy': [0.9579831957817078, 0.970588207244873, 0.970588207244873, 0.9831932783126831, 0.9873949289321899, 0.9873949289321899], 'val_f1_metric': [0.9195296764373779, 0.9439705610275269, 0.9475600123405457, 0.9633325934410095, 0.9693155288696289, 0.9693155288696289]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.003, 7)","{'loss': [0.2165522426366806, 0.06689756363630295, 0.034871164709329605, 0.028377747163176537, 0.023026039823889732, 0.025988450273871422, 0.0171053484082222], 'accuracy': [0.9073033928871155, 0.9789325594902039, 0.992977499961853, 0.9943820238113403, 0.9985954761505127, 0.992977499961853, 0.9985954761505127], 'f1_metric': [0.8078413605690002, 0.9584736227989197, 0.9806177020072937, 0.9846855401992798, 0.9976269006729126, 0.9874506592750549, 0.9966120719909668], 'val_loss': [0.095472052693367, 0.06383376568555832, 0.04907850921154022, 0.04420432075858116, 0.03870905935764313, 0.0404759906232357, 0.031978435814380646], 'val_accuracy': [0.970588207244873, 0.9747899174690247, 0.9831932783126831, 0.9831932783126831, 0.9873949289321899, 0.9915966391563416, 0.9873949289321899], 'val_f1_metric': [0.9396729469299316, 0.9486783742904663, 0.9644014835357666, 0.9644014835357666, 0.9693155288696289, 0.985345721244812, 0.9732245206832886]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.003, 8)","{'loss': [0.3736526072025299, 0.0790225937962532, 0.04568720981478691, 0.039121296256780624, 0.03164931759238243, 0.02604019269347191, 0.02437741309404373, 0.023463524878025055], 'accuracy': [0.8567415475845337, 0.9676966071128845, 0.9901685118675232, 0.9887640476226807, 0.992977499961853, 0.992977499961853, 0.9943820238113403, 0.9957864880561829], 'f1_metric': [0.7400631904602051, 0.9427173733711243, 0.9840084314346313, 0.9811865091323853, 0.9827497601509094, 0.9887374639511108, 0.9861645102500916, 0.9918842315673828], 'val_loss': [0.10004857182502747, 0.06334841251373291, 0.04926769435405731, 0.042100049555301666, 0.03435753285884857, 0.03070707432925701, 0.030655646696686745, 0.02446417510509491], 'val_accuracy': [0.9747899174690247, 0.9747899174690247, 0.9831932783126831, 0.9831932783126831, 0.9915966391563416, 0.9915966391563416, 0.9915966391563416, 0.9957982897758484], 'val_f1_metric': [0.9549063444137573, 0.9549063444137573, 0.9708124399185181, 0.9708124399185181, 0.9867925047874451, 0.9867925047874451, 0.9867925047874451, 0.9937611222267151]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.03, 2)","{'loss': [0.41910845041275024, 0.04371276870369911], 'accuracy': [0.8848314881324768, 0.9845505356788635], 'f1_metric': [0.7887133955955505, 0.9724799394607544], 'recall_metric': [0.8189549446105957, 0.9749022722244263], 'precision_metric': [0.7961219549179077, 0.974544882774353], 'val_loss': [0.09942124783992767, 0.07374528050422668], 'val_accuracy': [0.9789915680885315, 0.9789915680885315], 'val_f1_metric': [0.9640359878540039, 0.9585504531860352], 'val_recall_metric': [0.9633763432502747, 0.9558531641960144], 'val_precision_metric': [0.9712542295455933, 0.9729903340339661]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.03, 3)","{'loss': [0.7568016648292542, 0.18895646929740906, 0.038627345114946365], 'accuracy': [0.9002808928489685, 0.9691011309623718, 0.9873595237731934], 'f1_metric': [0.777737021446228, 0.9363619089126587, 0.9742976427078247], 'recall_metric': [0.8221696019172668, 0.9391994476318359, 0.9783874154090881], 'precision_metric': [0.8042912483215332, 0.9564001560211182, 0.9768633842468262], 'val_loss': [0.18350288271903992, 0.15460409224033356, 0.07371557503938675], 'val_accuracy': [0.9621848464012146, 0.9789915680885315, 0.9915966391563416], 'val_f1_metric': [0.8852359056472778, 0.9553036689758301, 0.9828664660453796], 'val_recall_metric': [0.8724536895751953, 0.949999988079071, 0.9791666865348816], 'val_precision_metric': [0.9110689759254456, 0.9777778387069702, 0.9901620149612427]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.03, 4)","{'loss': [0.7496842741966248, 0.08531656861305237, 0.015880433842539787, 0.05549956485629082], 'accuracy': [0.8778089880943298, 0.9817415475845337, 0.992977499961853, 0.983146071434021], 'f1_metric': [0.7617838382720947, 0.9655666947364807, 0.9716591238975525, 0.9663360714912415], 'recall_metric': [0.795489490032196, 0.9724062085151672, 0.9700943231582642, 0.9714228510856628], 'precision_metric': [0.76231449842453, 0.9670024514198303, 0.9747238755226135, 0.9758453965187073], 'val_loss': [0.15487994253635406, 0.06883586198091507, 0.09012067317962646, 0.14414197206497192], 'val_accuracy': [0.9747899174690247, 0.9831932783126831, 0.9873949289321899, 0.9789915680885315], 'val_f1_metric': [0.9551021456718445, 0.9692647457122803, 0.9727513194084167, 0.9551156759262085], 'val_recall_metric': [0.953224241733551, 0.9662697911262512, 0.9687500596046448, 0.9479166865348816], 'val_precision_metric': [0.965509295463562, 0.9781986474990845, 0.9864583015441895, 0.979356050491333]}","(0.8338557993730408, 0.8044444444444444, 0.9063322884012539, 0.8338557993730408, 0.730571016285302, 0.8338557993730408, 0.8338557993730408, 0.6633247714530339, 0.8099852182240519, 0.8338557993730408)"
,"(0.03, 5)","{'loss': [0.5118364691734314, 0.1668696403503418, 0.03439346328377724, 0.009148772805929184, 0.010414020158350468], 'accuracy': [0.9002808928489685, 0.9691011309623718, 0.992977499961853, 0.9971910119056702, 0.9957864880561829], 'f1_metric': [0.8253417015075684, 0.9425033926963806, 0.9867172241210938, 0.9941492676734924, 0.99088454246521], 'recall_metric': [0.8491311073303223, 0.9447809457778931, 0.9866600632667542, 0.9947665929794312, 0.9905796647071838], 'precision_metric': [0.8392097353935242, 0.9602351188659668, 0.9907516837120056, 0.99468594789505, 0.9938808083534241], 'val_loss': [0.09786100685596466, 0.060936734080314636, 0.08611853420734406, 0.11504223197698593, 0.0675293579697609], 'val_accuracy': [0.9789915680885315, 0.9915966391563416, 0.9873949289321899, 0.9789915680885315, 0.9831932783126831], 'val_f1_metric': [0.9563822746276855, 0.9828664660453796, 0.9727513194084167, 0.955561637878418, 0.967782735824585], 'val_recall_metric': [0.9523809552192688, 0.9791666865348816, 0.9687500596046448, 0.949999988079071, 0.9662697911262512], 'val_precision_metric': [0.970089316368103, 0.9901620149612427, 0.9864583015441895, 0.9782407283782959, 0.9754630327224731]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
,"(0.03, 6)","{'loss': [1.1362205743789673, 0.18102949857711792, 0.08993376791477203, 0.03505723550915718, 0.0058255502954125404, 0.0002360453800065443], 'accuracy': [0.851123571395874, 0.9648876190185547, 0.983146071434021, 0.9915730357170105, 0.9985954761505127, 1.0], 'f1_metric': [0.7182807922363281, 0.9233806729316711, 0.9561178684234619, 0.9816655516624451, 0.997072160243988, 1.0], 'recall_metric': [0.7727910876274109, 0.9348785281181335, 0.9566487073898315, 0.9893720149993896, 0.9971014857292175, 1.0], 'precision_metric': [0.7176589965820312, 0.9360923767089844, 0.9701282382011414, 0.9828722476959229, 0.9975845217704773, 1.0], 'val_loss': [0.20644207298755646, 0.07656990736722946, 0.14256729185581207, 0.07964420318603516, 0.0721311941742897, 0.08057582378387451], 'val_accuracy': [0.9621848464012146, 0.9873949289321899, 0.9789915680885315, 0.9915966391563416, 0.9957982897758484, 0.9873949289321899], 'val_f1_metric': [0.8767879009246826, 0.9753584861755371, 0.9551156759262085, 0.9828664660453796, 0.9915966391563416, 0.972499430179596], 'val_recall_metric': [0.8635417222976685, 0.9732142686843872, 0.9479166865348816, 0.9791666865348816, 0.9895833134651184, 0.9687499403953552], 'val_precision_metric': [0.9184027314186096, 0.9824074506759644, 0.979356050491333, 0.9901620149612427, 0.9953703880310059, 0.9861111640930176]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.03, 7)","{'loss': [1.3435474634170532, 0.19870290160179138, 0.0578182153403759, 0.023957259953022003, 0.006231867708265781, 0.008812332525849342, 0.007607882842421532], 'accuracy': [0.834269642829895, 0.9691011309623718, 0.9887640476226807, 0.9943820238113403, 0.9985954761505127, 0.9985954761505127, 0.9971910119056702], 'f1_metric': [0.6911875009536743, 0.9282230734825134, 0.9779067039489746, 0.990011990070343, 0.997423529624939, 0.9979190230369568, 0.9950098991394043], 'recall_metric': [0.7497876286506653, 0.940793514251709, 0.9801639914512634, 0.9905452728271484, 0.9981883764266968, 0.9979296326637268, 0.9966120719909668], 'precision_metric': [0.6984006762504578, 0.9299423098564148, 0.9802966713905334, 0.9917070269584656, 0.9971014857292175, 0.9981883764266968, 0.9943065047264099], 'val_loss': [0.4321674108505249, 0.1274164766073227, 0.07457976043224335, 0.14793716371059418, 0.15632961690425873, 0.06638307869434357, 0.08115462213754654], 'val_accuracy': [0.9411764740943909, 0.9789915680885315, 0.9957982897758484, 0.9663865566253662, 0.9831932783126831, 0.9915966391563416, 0.9915966391563416], 'val_f1_metric': [0.9015066623687744, 0.9634673595428467, 0.9915966391563416, 0.9400545954704285, 0.9652308225631714, 0.9831932783126831, 0.9846752285957336], 'val_recall_metric': [0.9068452715873718, 0.9589120149612427, 0.9895833134651184, 0.9442790746688843, 0.9583333134651184, 0.9791666269302368, 0.9791666865348816], 'val_precision_metric': [0.9082747101783752, 0.9749579429626465, 0.9953703880310059, 0.9456183910369873, 0.9830597639083862, 0.9907407760620117, 0.9934764504432678]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.03, 8)","{'loss': [0.8872130513191223, 0.125214621424675, 0.10379739105701447, 0.02927403151988983, 0.029245072975754738, 0.00957385916262865, 0.0009884204482659698, 0.00038849454722367227], 'accuracy': [0.8904494643211365, 0.976123571395874, 0.9803370833396912, 0.9901685118675232, 0.9915730357170105, 0.9971910119056702, 1.0, 1.0], 'f1_metric': [0.7552745938301086, 0.9433907866477966, 0.9651899933815002, 0.9823375344276428, 0.986421525478363, 0.9937029480934143, 1.0, 1.0], 'recall_metric': [0.7976964116096497, 0.9441134333610535, 0.9671670794487, 0.982326865196228, 0.9861974120140076, 0.9933575391769409, 1.0, 1.0], 'precision_metric': [0.7708796858787537, 0.948993444442749, 0.9729296565055847, 0.9856008291244507, 0.9895892143249512, 0.9955141544342041, 1.0, 1.0], 'val_loss': [0.30240175127983093, 0.14127177000045776, 0.14228056371212006, 0.14353816211223602, 0.12820513546466827, 0.07496289908885956, 0.07494691014289856, 0.07363498955965042], 'val_accuracy': [0.9579831957817078, 0.970588207244873, 0.9789915680885315, 0.9831932783126831, 0.9789915680885315, 0.9873949289321899, 0.9873949289321899, 0.9915966391563416], 'val_f1_metric': [0.868949294090271, 0.9480568766593933, 0.9551156759262085, 0.9638458490371704, 0.955561637878418, 0.9752907156944275, 0.9752907156944275, 0.9840208888053894], 'val_recall_metric': [0.8531250357627869, 0.9460151791572571, 0.9479166865348816, 0.9583333134651184, 0.949999988079071, 0.9722222089767456, 0.9722222089767456, 0.9826388955116272], 'val_precision_metric': [0.9184824824333191, 0.9596801996231079, 0.979356050491333, 0.9845644235610962, 0.9782407283782959, 0.9832175970077515, 0.9832175970077515, 0.9884259700775146]}","(0.8307210031347962, 0.825242718446602, 0.9194692150835438, 0.8307210031347962, 0.7272727272727272, 0.8307210031347962, 0.8307210031347964, 0.6508097165991903, 0.8021937227926339, 0.8307210031347962)"
,"(0.01, 2)","{'loss': [0.2471582591533661, 0.04773751273751259], 'accuracy': [0.9002808928489685, 0.9845505356788635], 'f1_metric': [0.8041943907737732, 0.9735268950462341], 'recall_metric': [0.8357982039451599, 0.9791136384010315], 'precision_metric': [0.8245975375175476, 0.9728716015815735], 'val_loss': [0.1406640261411667, 0.05613052472472191], 'val_accuracy': [0.9579831957817078, 0.9747899174690247], 'val_f1_metric': [0.9359479546546936, 0.9598621129989624], 'val_recall_metric': [0.9511483907699585, 0.9661045074462891], 'val_precision_metric': [0.9360119104385376, 0.9615740776062012]}","(0.8307210031347962, 0.825242718446602, 0.9194692150835438, 0.8307210031347962, 0.7272727272727272, 0.8307210031347962, 0.8307210031347964, 0.6508097165991903, 0.8021937227926339, 0.8307210031347962)"
,"(0.01, 3)","{'loss': [0.1954389065504074, 0.03164922818541527, 0.019700193777680397], 'accuracy': [0.9073033928871155, 0.9873595237731934, 0.9957864880561829], 'f1_metric': [0.8329936861991882, 0.976097583770752, 0.9918058514595032], 'recall_metric': [0.8518950343132019, 0.9810042381286621, 0.9940475821495056], 'precision_metric': [0.8528385162353516, 0.9774383902549744, 0.9910628199577332], 'val_loss': [0.07748719304800034, 0.03845975548028946, 0.056741468608379364], 'val_accuracy': [0.9747899174690247, 0.9831932783126831, 0.9831932783126831], 'val_f1_metric': [0.9599050879478455, 0.9701846241950989, 0.9733325839042664], 'val_recall_metric': [0.9647817611694336, 0.9730489253997803, 0.9824735522270203], 'val_precision_metric': [0.9625000357627869, 0.9740740656852722, 0.9704861044883728]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
,"(0.01, 4)","{'loss': [0.36663535237312317, 0.04909290373325348, 0.02311251126229763, 0.01867177151143551], 'accuracy': [0.8721910119056702, 0.9845505356788635, 0.9957864880561829, 0.9971910119056702], 'f1_metric': [0.776208221912384, 0.9744819402694702, 0.9913298487663269, 0.9962277412414551], 'recall_metric': [0.8085187673568726, 0.9769093990325928, 0.9898550510406494, 0.9963192939758301], 'precision_metric': [0.7951640486717224, 0.9777978658676147, 0.9946687817573547, 0.9966120719909668], 'val_loss': [0.07099881023168564, 0.03048405796289444, 0.02192256972193718, 0.01860060729086399], 'val_accuracy': [0.970588207244873, 0.9873949289321899, 0.9915966391563416, 0.9957982897758484], 'val_f1_metric': [0.9201299548149109, 0.9372106790542603, 0.9453560709953308, 0.9894737005233765], 'val_recall_metric': [0.920899510383606, 0.9356481432914734, 0.9398148059844971, 0.9861111044883728], 'val_precision_metric': [0.9297619462013245, 0.9437499642372131, 0.9541666507720947, 0.9958333373069763]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.01, 5)","{'loss': [0.24418890476226807, 0.044080354273319244, 0.02178053744137287, 0.0200897715985775, 0.023141471669077873], 'accuracy': [0.9030898809432983, 0.9845505356788635, 0.9943820238113403, 0.9943820238113403, 0.992977499961853], 'f1_metric': [0.833383321762085, 0.9655150771141052, 0.9891489148139954, 0.9769908785820007, 0.9860363602638245], 'recall_metric': [0.8512473702430725, 0.9664884805679321, 0.9897170662879944, 0.9799065589904785, 0.9862318634986877], 'precision_metric': [0.85231614112854, 0.974442183971405, 0.9914078712463379, 0.9754830002784729, 0.9904244542121887], 'val_loss': [0.031573593616485596, 0.028060633689165115, 0.02656484767794609, 0.022300513461232185, 0.015832047909498215], 'val_accuracy': [0.9873949289321899, 0.9915966391563416, 0.9957982897758484, 0.9957982897758484, 0.9957982897758484], 'val_f1_metric': [0.9377803206443787, 0.9453560709953308, 0.9894737005233765, 0.9894737005233765, 0.9894737005233765], 'val_recall_metric': [0.9328703284263611, 0.9398148059844971, 0.9861111044883728, 0.9861111044883728, 0.9861111044883728], 'val_precision_metric': [0.9472221732139587, 0.9541666507720947, 0.9958333373069763, 0.9958333373069763, 0.9958333373069763]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.01, 6)","{'loss': [0.24161919951438904, 0.042873360216617584, 0.02213010936975479, 0.020771052688360214, 0.02202020026743412, 0.016790732741355896], 'accuracy': [0.908707857131958, 0.9845505356788635, 0.9915730357170105, 0.9957864880561829, 0.9957864880561829, 0.9943820238113403], 'f1_metric': [0.8459150791168213, 0.9717846512794495, 0.9849151968955994, 0.9911945462226868, 0.9894682168960571, 0.9893221855163574], 'recall_metric': [0.8565358519554138, 0.9707326292991638, 0.9869476556777954, 0.9917874336242676, 0.9922705888748169, 0.9920398592948914], 'precision_metric': [0.8628145456314087, 0.9783089756965637, 0.9864441156387329, 0.9933574795722961, 0.989130437374115, 0.9887508153915405], 'val_loss': [0.10394591838121414, 0.04801410436630249, 0.05264543741941452, 0.0616861917078495, 0.012593232095241547, 0.01490990910679102], 'val_accuracy': [0.9579831957817078, 0.9831932783126831, 0.9873949289321899, 0.9789915680885315, 1.0, 0.9957982897758484], 'val_f1_metric': [0.8975536227226257, 0.9660505056381226, 0.9744274020195007, 0.9602859020233154, 1.0, 0.9558823704719543], 'val_recall_metric': [0.9012235403060913, 0.9680555462837219, 0.9777777791023254, 0.9638888835906982, 1.0, 0.9537037014961243], 'val_precision_metric': [0.9117063283920288, 0.9735119342803955, 0.9791666865348816, 0.9670138955116272, 1.0, 0.9583333134651184]}","(0.8244514106583072, 0.8222222222222223, 0.9180773249738767, 0.8244514106583072, 0.7171717171717171, 0.8244514106583072, 0.8244514106583072, 0.6331738437001595, 0.7916935399199052, 0.8244514106583072)"
,"(0.01, 7)","{'loss': [0.5952647924423218, 0.07698239386081696, 0.04595331847667694, 0.048387061804533005, 0.033136188983917236, 0.06732509285211563, 0.03293325752019882], 'accuracy': [0.8651685118675232, 0.9747191071510315, 0.9845505356788635, 0.9789325594902039, 0.9859550595283508, 0.9789325594902039, 0.9915730357170105], 'f1_metric': [0.7114658951759338, 0.9585617184638977, 0.9652756452560425, 0.9620112776756287, 0.9726235866546631, 0.9526971578598022, 0.985920786857605], 'recall_metric': [0.7601053714752197, 0.9576085805892944, 0.9683401584625244, 0.9628651738166809, 0.9736714363098145, 0.9559465646743774, 0.9866344332695007], 'precision_metric': [0.714503824710846, 0.9687959551811218, 0.9743203520774841, 0.9714828729629517, 0.9795097708702087, 0.961287796497345, 0.9886474013328552], 'val_loss': [0.06978309899568558, 0.033517949283123016, 0.1476878970861435, 0.02935229241847992, 0.017526190727949142, 0.08025330305099487, 0.02273421920835972], 'val_accuracy': [0.9621848464012146, 0.9915966391563416, 0.9453781247138977, 0.9873949289321899, 0.9957982897758484, 0.9663865566253662, 0.9915966391563416], 'val_f1_metric': [0.9074860215187073, 0.9453560709953308, 0.8714017271995544, 0.9447216391563416, 0.9894737005233765, 0.9238535165786743, 0.9813283085823059], 'val_recall_metric': [0.9077452421188354, 0.9398148059844971, 0.8780754208564758, 0.944444477558136, 0.9861111044883728, 0.9305555820465088, 0.9819444417953491], 'val_precision_metric': [0.9140211939811707, 0.9541666507720947, 0.8928570747375488, 0.9479166865348816, 0.9958333373069763, 0.9443451762199402, 0.9854166507720947]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
,"(0.01, 8)","{'loss': [0.3102702796459198, 0.04128718748688698, 0.022060425952076912, 0.03083084337413311, 0.022008467465639114, 0.012297066859900951, 0.011275351978838444, 0.008728917688131332], 'accuracy': [0.891853928565979, 0.9859550595283508, 0.9971910119056702, 0.9887640476226807, 0.9915730357170105, 0.9985954761505127, 0.9985954761505127, 0.9985954761505127], 'f1_metric': [0.7970404624938965, 0.9764546751976013, 0.9909286499023438, 0.9787821769714355, 0.9838523864746094, 0.997423529624939, 0.9980326294898987, 0.9969634413719177], 'recall_metric': [0.8200123906135559, 0.9784579873085022, 0.9903382062911987, 0.9832413792610168, 0.9850242733955383, 0.9981883764266968, 0.9979296326637268, 0.9963768720626831], 'precision_metric': [0.817076563835144, 0.9801012277603149, 0.9947664737701416, 0.9789854884147644, 0.98582923412323, 0.9971014857292175, 0.998389720916748, 0.9981883764266968], 'val_loss': [0.07055529952049255, 0.03044258989393711, 0.020441804081201553, 0.023269448429346085, 0.017579566687345505, 0.011663381941616535, 0.009243384003639221, 0.009003722108900547], 'val_accuracy': [0.9789915680885315, 0.9957982897758484, 0.9957982897758484, 0.9915966391563416, 0.9915966391563416, 0.9957982897758484, 1.0, 1.0], 'val_f1_metric': [0.9258729815483093, 0.9894737005233765, 0.9894737005233765, 0.9813283085823059, 0.953125, 0.9894737005233765, 1.0, 1.0], 'val_recall_metric': [0.9317532181739807, 0.9861111044883728, 0.9861111044883728, 0.9819444417953491, 0.9490740895271301, 0.9861111044883728, 1.0, 1.0], 'val_precision_metric': [0.9229166507720947, 0.9958333373069763, 0.9958333373069763, 0.9854166507720947, 0.9583333134651184, 0.9958333373069763, 1.0, 1.0]}","(0.8275862068965517, 0.8237179487179488, 0.9187665782493368, 0.8275862068965517, 0.7222222222222223, 0.8275862068965517, 0.8275862068965517, 0.6420790538437596, 0.7969992594739045, 0.8275862068965517)"
