,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(2, (0.1, 0.9), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6450972862263185,0.7234062980030722,0.72,0.6533333333333333,0.72,0.72,0.6457409050576753,0.7189995563442768,0.72
1,"(2, (0.1, 0.9), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.696861823460289,0.7563420197691297,0.74,0.7000000000000001,0.74,0.74,0.6831477214541731,0.7363191244239633,0.74
2,"(2, (0.1, 0.9), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.7892156862745098,0.8419117647058824,0.83,0.7733333333333333,0.83,0.83,0.7657434201460659,0.8243075651095494,0.83
3,"(2, (0.1, 0.9), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6720430107526881,0.7540322580645161,0.75,0.6733333333333333,0.75,0.75,0.6685906685906686,0.748917748917749,0.75
4,"(2, (0.1, 0.9), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6904761904761904,0.7678571428571428,0.75,0.7000000000000001,0.75,0.75,0.6861598440545809,0.7514619883040936,0.75
5,"(2, (0.1, 0.9), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6944389796052199,0.7561233523509737,0.76,0.6933333333333334,0.76,0.76,0.6934656700964213,0.7577230149485537,0.76
6,"(2, (0.1, 0.9), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7291666666666666,0.7916666666666665,0.78,0.7266666666666666,0.78,0.78,0.7118377138940343,0.7736742037878725,0.78
7,"(2, (0.1, 0.9), (200, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.8035335591726569,0.8424460877468395,0.81,0.7666666666666666,0.81,0.81,0.7528670160249108,0.8020239993924204,0.81
8,"(2, (0.1, 0.9), (200, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7555555555555555,0.8166666666666665,0.78,0.7733333333333334,0.78,0.78,0.7569023569023569,0.7898989898989899,0.78
9,"(2, (0.2, 0.8), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.746031746031746,0.8095238095238095,0.8,0.7333333333333334,0.8,0.8000000000000002,0.7222222222222222,0.7916666666666665,0.8
10,"(2, (0.2, 0.8), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.75,0.8125,0.81,0.7466666666666667,0.81,0.81,0.7441077441077443,0.8080808080808082,0.81
11,"(2, (0.2, 0.8), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.7531055900621118,0.8148291925465838,0.81,0.7533333333333333,0.81,0.81,0.7521361412870847,0.8115768534400609,0.81
12,"(2, (0.2, 0.8), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7112905369484316,0.7782595693779905,0.77,0.7133333333333333,0.77,0.7699999999999999,0.7047853624208305,0.7683849401829697,0.77
13,"(2, (0.2, 0.8), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.7655677655677655,0.8241758241758242,0.81,0.7733333333333333,0.81,0.81,0.7680817610062892,0.8156446540880503,0.81
