,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
136,"(5, (0.4, 0.6), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.6114478114478115,0.6974747474747474,0.68,0.62,0.68,0.68,0.6106318621204515,0.684289686064023,0.68
137,"(5, (0.4, 0.6), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.6845839874411302,0.7430298273155417,0.74,0.6866666666666666,0.74,0.74,0.685513963161022,0.7414081996434938,0.74
138,"(5, (0.4, 0.6), (200, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.6646249731356114,0.7431495809155383,0.73,0.6666666666666666,0.73,0.7299999999999999,0.6597016497478637,0.7318896393727534,0.73
139,"(5, (0.4, 0.6), (200, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.5982227648894315,0.6698209198209197,0.68,0.6,0.68,0.68,0.5977550440466042,0.6738064791133845,0.68
140,"(5, (0.5, 0.5), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.6652402896642527,0.743828176431863,0.74,0.6666666666666666,0.74,0.74,0.6618566618566618,0.7388167388167389,0.74
141,"(5, (0.5, 0.5), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.722672064777328,0.7920040485829961,0.78,0.7133333333333333,0.78,0.78,0.6925394293815347,0.7668793195108985,0.78
142,"(5, (0.5, 0.5), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.746031746031746,0.8095238095238095,0.8,0.7333333333333334,0.8,0.8000000000000002,0.7222222222222222,0.7916666666666665,0.8
143,"(5, (0.5, 0.5), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6394219626384833,0.7242473230426922,0.72,0.6533333333333333,0.72,0.72,0.6349125870842957,0.7132978423750774,0.72
144,"(5, (0.5, 0.5), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7156862745098039,0.786764705882353,0.78,0.7133333333333334,0.78,0.78,0.7033857542332119,0.7750140631496564,0.78
145,"(5, (0.5, 0.5), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7070130683852488,0.77515776047261,0.77,0.7066666666666667,0.77,0.7699999999999999,0.7004253056884636,0.7677432216905902,0.77
146,"(5, (0.5, 0.5), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.7579842543077837,0.8135862299465241,0.81,0.7466666666666667,0.81,0.81,0.7387798493894806,0.801609639517358,0.81
147,"(5, (0.5, 0.5), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.6642857142857143,0.7482142857142857,0.73,0.6733333333333333,0.73,0.7299999999999999,0.660233918128655,0.732017543859649,0.73
