,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
25,"(2, (0.6, 0.4), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.7824074074074074,0.8368055555555556,0.83,0.7733333333333334,0.83,0.83,0.7688018495852033,0.8266013871889024,0.83
26,"(2, (0.6, 0.4), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6452452452452452,0.7283783783783784,0.71,0.6533333333333333,0.71,0.7100000000000001,0.6371040128453166,0.7094069570024085,0.71
27,"(2, (0.6, 0.4), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.7181876094919574,0.7723363592928811,0.76,0.7266666666666666,0.76,0.76,0.7211046368232829,0.7647868109507955,0.76
28,"(2, (0.6, 0.4), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6332474503488996,0.7099355877616748,0.71,0.6333333333333333,0.71,0.7100000000000001,0.6327777777777778,0.7095833333333332,0.71
29,"(2, (0.6, 0.4), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.6996212121212122,0.7486742424242425,0.74,0.7000000000000001,0.74,0.74,0.6971591731470151,0.7422571349623022,0.74
30,"(2, (0.6, 0.4), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.5324143692564746,0.6295739348370928,0.56,0.5133333333333333,0.56,0.56,0.5138694638694639,0.5842657342657342,0.56
31,"(2, (0.6, 0.4), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.5977777777777779,0.6633333333333334,0.66,0.5933333333333334,0.66,0.66,0.5923905723905724,0.6592929292929293,0.66
32,"(2, (0.6, 0.4), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6461675579322638,0.734625668449198,0.71,0.6533333333333333,0.71,0.7100000000000001,0.6431061425652121,0.7163721601153985,0.71
33,"(2, (0.6, 0.4), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6370192307692307,0.7133413461538461,0.72,0.6333333333333333,0.72,0.72,0.6257813352127329,0.7095320798409221,0.72
34,"(2, (0.6, 0.4), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6387626262626263,0.7134469696969696,0.7,0.6333333333333333,0.7,0.7,0.6339109725127963,0.705025066119291,0.7
35,"(2, (0.6, 0.4), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.6098856209150326,0.6878063725490197,0.69,0.6066666666666667,0.69,0.69,0.6009578401449168,0.6833916474354202,0.69
36,"(2, (0.6, 0.4), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6337792642140468,0.7198996655518394,0.7,0.6333333333333333,0.7,0.7,0.6323914786040202,0.7086686089530151,0.7
37,"(2, (0.6, 0.4), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6771341997846393,0.739332131319961,0.75,0.6666666666666666,0.75,0.75,0.6644281644281644,0.7387057387057386,0.75
38,"(2, (0.6, 0.4), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.6185969569315405,0.6965058572335391,0.66,0.6133333333333334,0.66,0.66,0.6126020300593356,0.6745052859853619,0.66
39,"(2, (0.6, 0.4), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.8178053830227743,0.8633540372670808,0.86,0.82,0.86,0.8599999999999999,0.8176497681214663,0.8607120735658472,0.86
40,"(2, (0.6, 0.4), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7055049712192569,0.7740266875981162,0.77,0.7066666666666667,0.77,0.7699999999999999,0.705977421271539,0.7719073083778966,0.77
41,"(2, (0.6, 0.4), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7454545454545455,0.8090909090909091,0.8,0.7466666666666667,0.8,0.8000000000000002,0.7432939907104043,0.8023684522164766,0.8
