S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
414,"(10, (0.1, 0.9), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.613562092,0.645928579,0.658031088,0.619961714,0.658031088,0.658031088,0.616080798,0.651206744,0.658031088
415,"(10, (0.1, 0.9), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.699481865,0.667845912,0.701320999,0.699481865,0.674383483,0.699481865,0.699481865,0.667443173,0.697158686,0.699481865
416,"(10, (0.1, 0.9), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.766839378,0.746763995,0.757925821,0.766839378,0.737558042,0.766839378,0.766839378,0.73903479,0.759368235,0.766839378
417,"(10, (0.1, 0.9), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.74611399,0.712088368,0.73823487,0.74611399,0.708672641,0.74611399,0.74611399,0.708580554,0.74066589,0.74611399
418,"(10, (0.1, 0.9), (200, 200))",1,1,1,1,1,1,1,1,1,1,1,0.756476684,0.728253603,0.754760783,0.756476684,0.725004471,0.756476684,0.756476684,0.725776709,0.754891947,0.756476684
419,"(10, (0.1, 0.9), (200, 250))",1,1,1,1,1,1,1,1,1,1,1,0.756476684,0.742509536,0.753405698,0.756476684,0.723329955,0.756476684,0.756476684,0.72611306,0.749356543,0.756476684
420,"(10, (0.1, 0.9), (200, 300))",1,1,1,1,1,1,1,1,1,1,1,0.761658031,0.745535068,0.759375043,0.761658031,0.720708225,0.761658031,0.761658031,0.721394799,0.750977474,0.761658031
421,"(10, (0.1, 0.9), (200, 350))",1,1,1,1,1,1,1,1,1,1,1,0.797927461,0.788911146,0.802343336,0.797927461,0.762538004,0.797927461,0.797927461,0.76528907,0.791581715,0.797927461
422,"(10, (0.1, 0.9), (200, 400))",1,1,1,1,1,1,1,1,1,1,1,0.792746114,0.779299848,0.791693283,0.792746114,0.759850035,0.792746114,0.792746114,0.763408107,0.787185849,0.792746114
423,"(10, (0.1, 0.9), (200, 450))",1,1,1,1,1,1,1,1,1,1,1,0.797927461,0.781990232,0.794942967,0.797927461,0.768327272,0.797927461,0.797927461,0.771662432,0.79355292,0.797927461
