S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
80,"(2, (0.6, 0.4), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.76,0.719782282,0.784628378,0.76,0.7,0.76,0.76,0.690695633,0.757817643,0.76
81,"(2, (0.6, 0.4), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.67,0.618080446,0.713560335,0.67,0.613333333,0.67,0.67,0.611124383,0.686604157,0.67
82,"(2, (0.6, 0.4), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.72,0.654812563,0.735790274,0.72,0.653333333,0.72,0.72,0.644574975,0.720544634,0.72
83,"(2, (0.6, 0.4), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.69,0.613139993,0.689446831,0.69,0.62,0.69,0.69,0.611376927,0.685805423,0.69
84,"(2, (0.6, 0.4), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.59,0.549206349,0.632142857,0.59,0.54,0.59,0.59,0.541186268,0.606976657,0.59
85,"(2, (0.6, 0.4), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.69,0.648773966,0.730628094,0.69,0.646666667,0.69,0.69,0.643255295,0.705267559,0.69
86,"(2, (0.6, 0.4), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.83,0.782407407,0.836805556,0.83,0.773333333,0.83,0.83,0.76880185,0.826601387,0.83
87,"(2, (0.6, 0.4), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.71,0.645245245,0.728378378,0.71,0.653333333,0.71,0.71,0.637104013,0.709406957,0.71
88,"(2, (0.6, 0.4), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.76,0.718187609,0.772336359,0.76,0.726666667,0.76,0.76,0.721104637,0.764786811,0.76
89,"(2, (0.6, 0.4), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.71,0.63324745,0.709935588,0.71,0.633333333,0.71,0.71,0.632777778,0.709583333,0.71
90,"(2, (0.6, 0.4), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.74,0.699621212,0.748674242,0.74,0.7,0.74,0.74,0.697159173,0.742257135,0.74
91,"(2, (0.6, 0.4), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.56,0.532414369,0.629573935,0.56,0.513333333,0.56,0.56,0.513869464,0.584265734,0.56
92,"(2, (0.6, 0.4), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.66,0.597777778,0.663333333,0.66,0.593333333,0.66,0.66,0.592390572,0.659292929,0.66
93,"(2, (0.6, 0.4), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.71,0.646167558,0.734625668,0.71,0.653333333,0.71,0.71,0.643106143,0.71637216,0.71
94,"(2, (0.6, 0.4), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.72,0.637019231,0.713341346,0.72,0.633333333,0.72,0.72,0.625781335,0.70953208,0.72
95,"(2, (0.6, 0.4), (150, 300))",1,1,1,1,1,1,1,1,1,1,1,0.7,0.638762626,0.71344697,0.7,0.633333333,0.7,0.7,0.633910973,0.705025066,0.7
96,"(2, (0.6, 0.4), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.69,0.609885621,0.687806373,0.69,0.606666667,0.69,0.69,0.60095784,0.683391647,0.69
97,"(2, (0.6, 0.4), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.7,0.633779264,0.719899666,0.7,0.633333333,0.7,0.7,0.632391479,0.708668609,0.7
98,"(2, (0.6, 0.4), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.75,0.6771342,0.739332131,0.75,0.666666667,0.75,0.75,0.664428164,0.738705739,0.75
99,"(2, (0.6, 0.4), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.66,0.618596957,0.696505857,0.66,0.613333333,0.66,0.66,0.61260203,0.674505286,0.66
100,"(2, (0.6, 0.4), (200, 200))",1,1,1,1,1,1,1,1,1,1,1,0.86,0.817805383,0.863354037,0.86,0.82,0.86,0.86,0.817649768,0.860712074,0.86
101,"(2, (0.6, 0.4), (200, 250))",1,1,1,1,1,1,1,1,1,1,1,0.77,0.705504971,0.774026688,0.77,0.706666667,0.77,0.77,0.705977421,0.771907308,0.77
102,"(2, (0.6, 0.4), (200, 300))",1,1,1,1,1,1,1,1,1,1,1,0.8,0.745454545,0.809090909,0.8,0.746666667,0.8,0.8,0.743293991,0.802368452,0.8
